时间,指标,地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
最近20年,社会消费品零售总额(亿元),北京,13794.2,14867.7,13716.4,15063.7,14422.3,13933.7,13134.9,12271.9,9638,8872.1,8123.5,7222.2,6340.3,5309.9,4645.5,3835.2,3295.3,2911.7,2191.8,1916.7
最近20年,社会消费品零售总额(亿元),天津,3572,3769.8,3582.9,4218.2,4231.2,4210.4,4188.1,3963.2,4738.7,4470.4,3921.4,3395.1,2860.2,2430.8,2078.7,1650.6,1383.1,1201.6,1052.7,922.3
最近20年,社会消费品零售总额(亿元),石家庄,,2501.2,2382.7,2465.2,3274.4,2983.3,2975.2,2693,2423.5,1972.4,1915.8,1663,1409.9,1190.6,1005.2,821.1,698.8,,,
最近20年,社会消费品零售总额(亿元),太原,,1873.9,1655.1,1952.8,1811.9,1767.8,1666.2,1540.8,1450.2,1281.5,1129.5,973.3,825.8,721.7,619.9,515.9,436.5,,,
最近20年,社会消费品零售总额(亿元),呼和浩特,,1104.7,1032.9,1076.5,1603.2,1518.8,1481.5,1353.5,1256.1,1142.4,1022.2,890,756.6,641.2,533.2,430.8,361,,,
最近20年,社会消费品零售总额(亿元),沈阳,,3985.1,3637.6,4479.6,4051.2,3989.8,3985.9,3883.2,3570.1,3186.1,2802.2,2426.9,2065.9,1778.6,1505.5,1231.9,1048.7,,,
最近20年,社会消费品零售总额(亿元),大连,,1909.7,1828,,3880.1,3722.5,3410.1,3087.5,2828.4,2526.5,2224,1924.8,1639.8,1396.7,1182.6,983.3,839.3,,,
最近20年,社会消费品零售总额(亿元),长春,,2219.2,2003.1,3119.6,3003.6,2922.8,2650.3,2409.3,2217.5,1970,1739.6,1515.9,1286.7,1089.4,945.7,778.3,666.3,,,
最近20年,社会消费品零售总额(亿元),哈尔滨,,2380.3,2223.6,,4125.1,4044.8,3744.2,3394.5,3070.9,2728.3,2394.6,2070.4,1770.2,1507.9,1264,1036,894.6,,,
最近20年,社会消费品零售总额(亿元),上海,16442.1,18079.3,15932.5,15847.6,14874.8,13699.5,12588.2,11605.7,9303.5,8557,7840.4,7185.8,6186.6,5173.2,4577.2,3873.3,3375.2,2979.5,2454.6,2220.6
最近20年,社会消费品零售总额(亿元),南京,,7899.4,7203,7136.3,5832.5,5604.7,5088.2,4590.2,4167.2,3531.7,3103.8,2697.1,2288.7,1935.5,1651.8,1380.5,1166.9,,,
最近20年,社会消费品零售总额(亿元),杭州,,6743.5,6055.5,6187.6,5715.3,5717.4,5176.2,4697.2,4201.5,3531.2,2944.6,2548.4,2146.1,1804.9,1558.4,1296.3,1112.4,,,
最近20年,社会消费品零售总额(亿元),宁波,,4649.1,4238.3,4268.6,4154.9,4047.8,3667.6,3349.6,2992,2635.7,2329.3,2018.9,1704.5,1429.7,1238,1035.5,882.5,,,
最近20年,社会消费品零售总额(亿元),合肥,,5111.7,4513.8,4378.2,2976.7,2728.5,2445.7,2183.7,1666.8,1480.8,1293.6,1111.1,839,703.4,588.4,469,384.3,,,
最近20年,社会消费品零售总额(亿元),福州,,4549.4,4225.6,4199,4666.5,4193.9,3763.1,3488.7,3062.9,2681.7,2319.8,1947.8,1624.3,1338.6,1134.4,941,775.5,,,
最近20年,社会消费品零售总额(亿元),厦门,,2584.1,2293.9,2257.9,1542.4,1446.7,1283.5,1168.4,1072.3,974.5,881.9,800.3,685,566.1,418.9,362,314.9,,,
最近20年,社会消费品零售总额(亿元),南昌,,2878.7,2452.7,2369.3,2131.6,2097,1868,1662.9,1304.9,1132.8,995.1,928.3,764.9,634.4,528.9,426.7,358.4,,,
最近20年,社会消费品零售总额(亿元),济南,,5126.1,4469.1,5162.2,4404.5,4146.1,3764.8,3410.3,3087.6,2743.4,2420.2,2114.3,1802.5,1595.7,1356.7,1103.1,939.3,,,
最近20年,社会消费品零售总额(亿元),青岛,,5975.4,5203.5,5126.6,4842.5,4541,4104.9,3713.7,3361.7,2986.8,2635.6,2302.4,1961.1,1730.2,1464.8,1199.2,1006.7,,,
最近20年,社会消费品零售总额(亿元),郑州,,5389.2,5076.3,5324,4268.1,4057.2,3665.8,3294.7,2913.6,2586.4,2289.9,1987.1,1678,1434.8,1206.3,978.7,822.2,,,
最近20年,社会消费品零售总额(亿元),武汉,,6795,6149.8,7774.5,6843.9,6196.3,5610.6,5102.2,4369.3,3916.6,3432.4,3031.8,2570.4,2164.1,1850,1518.3,1293.3,,,
最近20年,社会消费品零售总额(亿元),长沙,,5111.6,4469.8,5247,4765,4547.7,4117.4,3690.6,3162.1,2802,2521.7,2201.6,1864.5,1524.9,1273.9,1037,865.6,,,
